nome_blox,nome_curso,area_conhecimento,area_funcional,Record Count
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,474
Seja um coach,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,450
"Ética e Responsabilidade Social ",Extensão em Negócios e Inovação,Relacionais,Gestão e Administração,433
Como é o planejamento pedagógico?,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,432
Projeto e planejamento escolar,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,408
Entendendo Banco de Dados,Extensão em Negócios e Inovação,Técnicas,Produção e Processamento,408
Juros e Empréstimos: a avaliação financeira de um projeto,Extensão em Negócios e Inovação,Estratégicas,Finanças,407
Demonstrativos financeiros e contábeis,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,404
Paradigmas pedagógicos,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,396
Compras na Administração Pública,Extensão em Negócios e Inovação,Técnicas,Gestão e Administração,372
O que é conhecimento?,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,354
Tudo que você precisa saber sobre logística reversa,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,350
Até onde vai o impacto da inovação na educação,Extensão em Negócios e Inovação,Estratégicas,Criatividade e Inovação,342
Gerenciamento de sistemas operacionais,Extensão em Negócios e Inovação,Técnicas,Database e Redes,330
Como é a sociedade brasileira?,Extensão em Negócios e Inovação,Relacionais,Gestão de Pessoas,318
Logística e a movimentação de materiais,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,300
Introdução a Sistemas de Informação e Comunicação,Extensão em Negócios e Inovação,Técnicas,Gestão Estratégica,290
O planejamento do ensino: preparando a aula,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Legislação Educacional,288
Concepções pedagógicas da avaliação,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,258
O planejamento do ensino: preparando a aula,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Legislação Educacional,252
Sistemas de transporte de mercadorias,Extensão em Negócios e Inovação,Técnicas,Economia,252
Sistemas operacionais para leigos,Extensão em Negócios e Inovação,Técnicas,Database e Redes,240
Gestão da Qualidade de Softwares,Extensão em Negócios e Inovação,Técnicas,Database e Redes,234
Matemática aplicada: conceitos fundamentais,Extensão em Negócios e Inovação,Técnicas,Finanças,234
O que é Educação Infantil?,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,234
Aprender brincando: ludicidade e pensamento pedagógico,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,228
Como funciona a EJA?,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,222
Matemática aplicada: Funções e equações,Extensão em Negócios e Inovação,Técnicas,Finanças,198
O comportamento humano,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,186
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Marketing e Comunicação,180
O que é Educação Básica?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,180
Avaliações internas e externas na educação,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,180
Avaliações internas e externas na educação,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,180
Como aprendemos: Teorias de Aprendizagem,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,180
Projeto e planejamento escolar,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,174
O que é conhecimento?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Estratégica,168
Interligando redes de computadores,Extensão em Negócios e Inovação,Técnicas,Database e Redes,168
O que um gestor precisa saber sobre didática,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,162
A Gestão de Pessoas Contemporânea,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,156
Cidadão consciente promove o desenvolvimento,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Sustentabilidade,156
Todos conectados: redes de computadores,Extensão em Negócios e Inovação,Técnicas,Database e Redes,156
Cidadão consciente promove o desenvolvimento,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Sustentabilidade,156
Os desafios da prática pedagógica no ensino da língua escrita,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,156
Até onde vai o impacto da inovação na educação,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Estratégicas,Criatividade e Inovação,150
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Marketing e Comunicação,150
Inovar para o sucesso!,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Inovação,Criatividade e Inovação,150
Desafios da EJA,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,150
O que é Educação Infantil?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,144
Paradigmas pedagógicos,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,144
Práticas de Mentoring,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,144
A Gestão de Pessoas Contemporânea,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,138
Competitividade de mercado,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Estratégicas,Marketing e Comunicação,132
Fundamentos da pedagogia,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,132
Até onde vai o impacto da inovação na educação,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Estratégicas,Criatividade e Inovação,126
Concepções pedagógicas da avaliação,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,126
Como é o planejamento pedagógico?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,126
Como é o planejamento pedagógico?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,120
O que é conhecimento?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,120
Como funciona a EJA?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,120
Inovar para o sucesso!,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Inovação,Criatividade e Inovação,120
O que você precisa saber sobre Linguagem SQL,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,114
Aprender brincando: ludicidade e pensamento pedagógico,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,114
Projeto e planejamento escolar,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,108
O que é Educação Básica?,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,108
Ferramentas para Educação Infantil,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,108
Entendendo Banco de Dados,Pós-Graduação em Gestão Empresarial,Técnicas,Produção e Processamento,103
O que é Educação Infantil?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,102
Como funciona a EJA?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,96
Competitividade de mercado,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Estratégicas,Marketing e Comunicação,96
Concepções pedagógicas da avaliação,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,90
Como aprendemos: Teorias de Aprendizagem,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,90
Fundamentos da pedagogia,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,90
Como é a sociedade brasileira?,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,90
Como é a sociedade brasileira?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,90
Avaliações internas e externas na educação,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,90
Educação 4.0: O que devemos esperar,Pós-Graduação em Gestão Empresarial,Inovação,Inovação em Educação,85
Desafios da EJA,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,84
Contabilidade Para Não Contadores,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Contabilidade e Tributação,84
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Estratégica,84
O que você precisa saber sobre Linguagem SQL,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Database e Redes,84
Tudo que você precisa saber sobre logística reversa,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Estratégica,83
Demonstrativos financeiros e contábeis,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Estratégica,81
Layout industrial inteligente,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,78
O que um gestor precisa saber sobre didática,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,78
Competitividade de mercado,Pós-Graduação em Gestão Empresarial,Estratégicas,Marketing e Comunicação,73
O comportamento humano,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,72
Práticas de Mentoring,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,72
"Ética e Responsabilidade Social ",Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão e Administração,72
Metodologias ágeis para desenvolvimento e melhoria de softwares,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Database e Redes,66
Paradigmas pedagógicos,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,66
Montando uma seleção excelente de profissionais,Pós-Graduação em Gestão Estratégica de Pessoas,Relacionais,Gestão de Pessoas,63
Tipos e modelos de organizações,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão e Administração,60
Seja um coach,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,60
Ferramentas para Educação Infantil,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,60
Os desafios da prática pedagógica no ensino da língua escrita,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,54
Montando uma seleção excelente de profissionais,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,54
"Ética e Responsabilidade Social ",Pós-Graduação em Gestão Estratégica de Pessoas,Relacionais,Gestão e Administração,54
O ciclo de vida de um projeto: do nascimento ao encerramento,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Projetos,54
Criando projeto de estágio para educação infantil,Extensão em Negócios e Inovação,Técnicas,Gestão Educacional,54
Seja um coach,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão de Pessoas,54
Montando uma seleção excelente de profissionais,Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão de Pessoas,54
Desafios da EJA,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,54
Matemática Financeira: Análise financeira de Juros,Pós-Graduação em Controladoria e Finanças,Técnicas,Finanças,49
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Estratégicas,Empreendedorismo,48
"Ética e Responsabilidade Social ",Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão e Administração,47
Valorização profissional – Retenção de profissionais,Pós-Graduação em Gestão Estratégica de Pessoas,Relacionais,Gestão de Pessoas,45
"Estratégia para a indústria 4.0 ",Pós-Graduação em Gestão Empresarial,Estratégicas,Gestão Estratégica,45
Comportamento organizacional,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão Estratégica,42
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Pessoas,38
Mãos na massa! – Ferramentas para Criatividade e Inovação,Pós-Graduação em Gestão Empresarial,Inovação,Criatividade e Inovação,37
Inovar para o sucesso!,Pós-Graduação em Gestão Empresarial,Inovação,Criatividade e Inovação,37
Gestão contábil e financeira,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Finanças,36
Sistemas operacionais para leigos,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Database e Redes,36
Matemática aplicada: conceitos fundamentais,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Finanças,36
Entendendo Banco de Dados,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Produção e Processamento,36
Criando projeto de estágio para educação infantil,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Educacional,36
Metodologias ágeis para desenvolvimento e melhoria de softwares,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,36
Gestão de Compras,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão e Administração,36
Valorização profissional – Retenção de profissionais,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,36
Gestão estratégica da tecnologia da informação,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Gestão e Administração,36
Entendendo as relações trabalhistas,Pós-Graduação em Gestão Estratégica de Pessoas,Relacionais,Gestão de Pessoas,36
Metodologias ativas em que o aluno é protagonista do aprendizado,Pós-Graduação em Gestão Empresarial,Estratégicas,Inovação em Educação,36
Montando uma seleção excelente de profissionais,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão de Pessoas,33
Tudo que você precisa saber sobre logística reversa,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,30
Conhecendo a estatística,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão e Administração,30
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,30
A magia da negociação,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Estratégicas,Vendas,30
Logística e a movimentação de materiais,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,30
Indicadores financeiros básicos,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Estratégica,30
Tudo que você precisa saber sobre logística reversa,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Estratégica,30
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Empreendedorismo,30
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão de Pessoas,30
Interligando redes de computadores,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Database e Redes,30
Contabilidade Para Não Contadores,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Contabilidade e Tributação,30
Uma caixa de ferramentas para o gerenciamento de projetos,Pós-Graduação em Controladoria e Finanças,Inovação,Gestão de Projetos,29
Inovar para o sucesso!,Pós-Graduação em Liderança para Transformação Digital 4.0,Inovação,Criatividade e Inovação,29
Passo a passo da Gestão Estratégica de Vendas,Pós-Graduação em Controladoria e Finanças,Estratégicas,Vendas,29
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Controladoria e Finanças,Estratégicas,Finanças,29
"Ética e Responsabilidade Social ",Pós-Graduação em Gestão Empresarial,Relacionais,Gestão e Administração,29
Comportamento organizacional,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão Estratégica,28
Business Intelligence e Analytics,Pós-Graduação em Gestão Empresarial,Estratégicas,Database e Redes,27
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Pessoas,27
Inovar para o sucesso!,Pós-Graduação em Controladoria e Finanças,Inovação,Criatividade e Inovação,27
Demonstrativos financeiros e contábeis,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Gestão Estratégica,27
Comportamento organizacional,Pós-Graduação em Gestão Estratégica de Pessoas,Relacionais,Gestão Estratégica,27
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Gestão Estratégica de Pessoas,Estratégicas,Finanças,27
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação em Gestão Estratégica de Pessoas,Estratégicas,Empreendedorismo,27
A magia da negociação,Pós-Graduação em Gestão Estratégica de Pessoas,Estratégicas,Vendas,27
Planejar para empreender! Plano de negócios e Modelo de negócios,Pós-Graduação em Controladoria e Finanças,Estratégicas,Empreendedorismo,27
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Gestão Estratégica de Pessoas,Técnicas,Gestão de Pessoas,27
Gestão estratégica da tecnologia da informação,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão e Administração,26
"Gestão de Projetos Educacionais ",Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Projetos,26
A experiência do consumidor 4.0,Pós-Graduação em Controladoria e Finanças,Técnicas,Marketing e Comunicação,24
O que é Direito Administrativo?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Estratégicas,Gestão e Administração,24
Gestão estratégica da tecnologia da informação,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão e Administração,24
Matemática aplicada: Funções e equações,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Finanças,24
Introdução a Administração Financeira,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Finanças,24
Montando uma seleção excelente de profissionais,Pós-Graduação em Liderança para Transformação Digital 4.0,Relacionais,Gestão de Pessoas,24
Juros e Empréstimos: a avaliação financeira de um projeto,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Finanças,24
Entendendo as relações trabalhistas,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Relacionais,Gestão de Pessoas,24
Os desafios da prática pedagógica no ensino da língua escrita,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,24
Introdução a Sistemas de Informação e Comunicação,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Técnicas,Gestão Estratégica,24
Comportamento organizacional,Pós-Graduação em Gestão Empresarial,Relacionais,Gestão Estratégica,24
Comportamento organizacional,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),Relacionais,Gestão Estratégica,24
O que é Educação Básica?,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),Técnicas,Gestão Educacional,24
Inovar para o sucesso!,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Inovação,Criatividade e Inovação,23
Medindo o desempenho em Gestão de Pessoas,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão de Pessoas,22
Gestão contábil e financeira,Pós-Graduação em Gestão Empresarial,Técnicas,Finanças,22
Impulsionando a captação de dinheiro para novos negócios,Pós-Graduação em Controladoria e Finanças,Estratégicas,Finanças,22
Gestão do conhecimento,Pós-Graduação em Controladoria e Finanças,Estratégicas,Gestão e Administração,22
A magia da negociação,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Vendas,21
Características e inteligências do líder na transformação digital,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Pessoas,20
Gestão estratégica da tecnologia da informação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão e Administração,20
A magia da negociação,Curso teste Unique,Estratégicas,Vendas,20
Indicadores financeiros básicos,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão Estratégica,20
Organizações que mudam e evoluem,Curso teste Unique,Relacionais,Gestão de Pessoas,20
Indicadores financeiros básicos,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão Estratégica,20
Business Intelligence e Analytics,Pós-Graduação em Controladoria e Finanças,Estratégicas,Database e Redes,20
Valorização profissional – Retenção de profissionais,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Relacionais,Gestão de Pessoas,20
Indicadores financeiros básicos,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão Estratégica,20
Características e inteligências do líder na transformação digital,Pós-Graduação em Gestão Empresarial,Técnicas,Gestão de Pessoas,20
"Ética e Responsabilidade Social ",Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão e Administração,20
O líder desenvolvendo equipes,Pós-Graduação em Controladoria e Finanças,Relacionais,Gestão de Pessoas,20
"Gestão de Projetos Educacionais ",Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão de Projetos,20
Tecnologias Digitais e a escola do futuro,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Inovação em Educação,20
"Gestão Ágil, Modular e Flexível",Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Projetos,20
Design thinking para educadores: práticas e soluções para o cotidiano escolar,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Inovação em Educação,20
